"","coast","site","site_full","treatment","transect.point","weight_fresh_c_mean","weight_fresh_c_se","weight_dry_c_mean","weight_dry_c_se","dry_bulk_density_g_cm3_mean","dry_bulk_density_g_cm3_se","vwc_mean","vwc_se","om_mean","om_se","om_prozent_mean","om_prozent_se","om.density_mean","om.density_se","c_oc_mean","c_oc_se","c_13c_oc_mean","c_13c_oc_se","n_oc_mean","n_oc_se","n_15n_oc_mean","n_15n_oc_se","c_total_mean","c_total_se","c_13c_total_mean","c_13c_total_se","n_total_mean","n_total_se","n_15n_total_mean","n_15n_total_se","c_ic_mean","c_ic_se","oc_carbon_density_mean","oc_carbon_density_se","oc_carbon_density_neu_mean","oc_carbon_density_neu_se","conductivity_mS.cm_mean","conductivity_mS.cm_se","conductivity_S.m_mean","conductivity_S.m_se","pH_mean","pH_se","weight_fresh_abm_mean","weight_fresh_abm_se","weight_dry_abm_mean","weight_dry_abm_se","weight_fresh_bbm_mean","weight_fresh_bbm_se","weight_dry_bbm_mean","weight_dry_bbm_se","abm_kg_m2_mean","abm_kg_m2_se","bbm_kg_m2_mean","bbm_kg_m2_se","bbm_oc_mean","bbm_oc_se","bbm_oc_storage_mean","bbm_oc_storage_se","bbm_13c_mean","bbm_13c_se","bbm_n_mean","bbm_n_se","bbm_15n_mean","bbm_15n_se","weight_fresh_c_1","weight_fresh_c_2","weight_fresh_c_3","weight_fresh_c_4","weight_fresh_c_5","weight_dry_c_1","weight_dry_c_2","weight_dry_c_3","weight_dry_c_4","weight_dry_c_5","dry_bulk_density_g_cm3_1","dry_bulk_density_g_cm3_2","dry_bulk_density_g_cm3_3","dry_bulk_density_g_cm3_4","dry_bulk_density_g_cm3_5","vwc_1","vwc_2","vwc_3","vwc_4","vwc_5","om_1","om_2","om_3","om_4","om_5","om_prozent_1","om_prozent_2","om_prozent_3","om_prozent_4","om_prozent_5","om.density_1","om.density_2","om.density_3","om.density_4","om.density_5","c_oc_1","c_oc_2","c_oc_3","c_oc_4","c_oc_5","c_13c_oc_1","c_13c_oc_2","c_13c_oc_3","c_13c_oc_4","c_13c_oc_5","n_oc_1","n_oc_2","n_oc_3","n_oc_4","n_oc_5","n_15n_oc_1","n_15n_oc_2","n_15n_oc_3","n_15n_oc_4","n_15n_oc_5","c_total_1","c_total_2","c_total_3","c_total_4","c_total_5","c_13c_total_1","c_13c_total_2","c_13c_total_3","c_13c_total_4","c_13c_total_5","n_total_1","n_total_2","n_total_3","n_total_4","n_total_5","n_15n_total_1","n_15n_total_2","n_15n_total_3","n_15n_total_4","n_15n_total_5","c_ic_1","c_ic_2","c_ic_3","c_ic_4","c_ic_5","oc_carbon_density_1","oc_carbon_density_2","oc_carbon_density_3","oc_carbon_density_4","oc_carbon_density_5","oc_carbon_density_neu_1","oc_carbon_density_neu_2","oc_carbon_density_neu_3","oc_carbon_density_neu_4","oc_carbon_density_neu_5","conductivity_mS.cm_1","conductivity_mS.cm_2","conductivity_mS.cm_3","conductivity_mS.cm_4","conductivity_mS.cm_5","conductivity_S.m_1","conductivity_S.m_2","conductivity_S.m_3","conductivity_S.m_4","conductivity_S.m_5","pH_1","pH_2","pH_3","pH_4","pH_5"
"1","Baltic Sea","HEI","Heiligenhafen (HEI)","Grazed","1",241.3826,31.6951636689259,199.5769,33.9400244775398,1.995769,0.339400244775398,0.3285879478,0.0136880687532939,7.5227029,1.8283812208702,5.7,2.91804729228297,0.075227029,0.018283812208702,3.07,1.68547718267953,-26.5366666666667,0.39252742296275,0.263333333333333,0.147459975737298,5.30666666666667,1.76980538792013,4.17,1.97575302100237,-26.5666666666667,0.402174644208763,0.343333333333333,0.186666666666667,8.71333333333333,0.71167252144352,1.1,0.361155552820849,3.86837011333333,1.08824341307182,0.038683701,0.0108824341653457,1.45833333333333,0.258788416364497,0.145833333333333,0.0258788416364497,5.59633333333333,0.093117011215877,139.299,0,16.5111,0,14.83253,0,2.970933,0,0.183456667,0,1.513465614,0,29.28,0,0.4431427317792,0,-28.55,0,1.43,0,5.97,0,133.6626,212.9626,255.9626,308.4626,295.8626,79.096,176.6307,221.3426,268.2126,252.6026,0.79096,1.766307,2.213426,2.682126,2.526026,0.322902577,0.301335959,0.299375019,0.349979451,0.369346733,13.44632,9.7146885,6.640278,4.023189,3.789039,17,5.5,3,1.5,1.5,0.1344632,0.097146885,0.06640278,0.04023189,0.03789039,6.32,6.11470588235294,2.22,1.78,0.67,-27.32,NA,-26.19,NA,-26.1,0.55,NA,0.18,NA,0.06,7.2,NA,6.95,NA,1.77,7.83,NA,3.63,NA,1.05,-27.37,NA,-26.13,NA,-26.2,0.69,NA,0.29,NA,0.05,7.53,NA,8.62,NA,9.99,1.51,NA,1.41,NA,0.38,4.9988672,NA,4.91380572,NA,1.69243742,0.049988672,NA,0.049138057,NA,0.016924374,1.276,NA,1.13,NA,1.969,0.1276,NA,0.113,NA,0.1969,5.541,NA,5.47,NA,5.778
"2","Baltic Sea","HEI","Heiligenhafen (HEI)","Grazed","2",183.8026,24.0891386313417,144.84992,29.9993264695293,1.4484992,0.299993264695293,0.2680048122,0.0253055379312081,10.5886906,1.19870129945948,11.6,5.66877411792003,0.105886906,0.0119870129945948,6.54,4.35258926770415,-27.47,0.445308881564246,0.57,0.38527046776691,7.93,0.333066559914581,8.68666666666667,3.43506590588562,-27.47,0.438216080642111,0.73,0.273191019862171,8.23666666666667,0.255690785476868,2.14666666666667,1.06914815520478,5.09566407,0.914521952249411,0.0509566406666667,0.00914521943728912,2.572,0.578028834344216,0.2572,0.0578028834344216,5.96766666666667,0.173167869742372,182.899,0,29.2654,0,43.13253,0,11.32223,0,0.325171111,0,5.767819664,0,22.54,0,1.3000665522656,0,-28.06,0,1.65,0,7.43,0,102.3626,163.5626,213.4626,196.4626,243.1626,43.3788,113.8368,178.8023,174.9591,213.2726,0.433788,1.138368,1.788023,1.749591,2.132726,0.249959112,0.346083148,0.290324458,0.191498688,0.262158655,14.748792,10.245312,8.0461035,11.3723415,8.530904,34,9,4.5,6.5,4,0.14748792,0.10245312,0.080461035,0.113723415,0.08530904,15.24,7.89411764705882,1.93,6.76902777777778,2.45,-28.34,NA,-26.87,NA,-27.2,1.34,NA,0.16,NA,0.21,8.41,NA,7.29,NA,8.09,15.45,NA,4.26,NA,6.35,-28.32,NA,-26.86,NA,-27.23,1.26,NA,0.35,NA,0.58,8.43,NA,7.73,NA,8.55,0.21,NA,2.33,NA,3.9,6.61092912,NA,3.45088439,NA,5.2251787,0.066109291,NA,0.034508844,NA,0.052251787,3.14,NA,1.416,NA,3.16,0.314,NA,0.1416,NA,0.316,6.303,NA,5.725,NA,5.875
"3","Baltic Sea","HEI","Heiligenhafen (HEI)","Grazed","3",142.7426,13.0011307200566,44.37392,6.98330106363745,0.4437392,0.0698330106363745,0.3024441164,0.0400042449813545,15.0637288,1.50441466410021,36.8,5.10294032886923,0.150637288,0.0150441466410021,15.1466666666667,3.79000586337864,-27.2766666666667,0.753266958727855,1.24333333333333,0.242234963986989,4.11333333333333,1.07842992869779,18.7533333333333,4.57588000036908,-27.3366666666667,0.764075330782974,1.47666666666667,0.278826907676509,4.2,1.11545207576719,3.60666666666667,0.804183505868599,5.24849585666667,0.579397207676472,0.0524849586666667,0.0057939721993438,17.7,2.02948269270768,1.77,0.202948269270768,5.83966666666667,0.290725720300844,127.899,0,16.1368,0,137.0325,0,18.91293,0,0.179297778,0,9.634707081,0,40.83,0,3.9338509011723,0,-28.69,0,2.02,0,5.61,0,94.4626,158.0626,166.9626,156.8626,137.3626,19.6828,46.6413,59.4589,55.3252,40.7614,0.196828,0.466413,0.594589,0.553252,0.407614,0.155815725,0.328783297,0.382843328,0.358120863,0.286657369,10.82554,19.122933,17.243081,15.491056,12.636034,55,41,29,28,31,0.1082554,0.19122933,0.17243081,0.15491056,0.12636034,22.69,32.0843636363636,10.73,21.2167741935484,12.02,-28.78,NA,-26.61,NA,-26.44,1.72,NA,0.93,NA,1.08,6.27,NA,3.06,NA,3.01,27.89,NA,13.73,NA,14.64,-28.86,NA,-26.68,NA,-26.47,2.03,NA,1.14,NA,1.26,6.43,NA,3.03,NA,3.14,5.2,NA,3,NA,2.62,4.46602732,NA,6.37993997,NA,4.89952028,0.044660273,NA,0.0637994,NA,0.048995203,21.1,NA,14.08,NA,17.92,2.11,NA,1.408,NA,1.792,6.339,NA,5.332,NA,5.848
"4","Baltic Sea","HEI","Heiligenhafen (HEI)","Grazed","4",170.0426,31.1760709519336,127.62528,34.922236406098,1.2762528,0.349222364060981,0.2710004242,0.0396450947587621,7.9074921,1.23021498927308,15.3,9.46519941681104,0.079074921,0.0123021498927308,8.67666666666667,6.84342100934256,-27.8566666666667,0.375470075742099,0.656666666666667,0.502305794423189,5.48666666666667,1.10788587458777,9.70666666666667,6.69955802854023,-27.7733333333333,0.349777707186213,0.693333333333333,0.439785301153996,6.93666666666667,0.325849317595998,1.03,0.145716619962629,3.2266371,1.18807383452423,0.032266371,0.0118807383452423,4.93166666666667,2.93380630656566,0.493166666666667,0.293380630656566,5.659,0.0337194306001747,192.199,0,29.4684,0,38.13253,0,5.395633,0,0.327426667,0,2.748666836,0,37.48,0,1.0302003301328,0,-28.24,0,1.57,0,5.85,0,64.6626,140.9626,183.9626,234.1626,226.4626,19.2275,82.4764,136.062,201.4305,198.93,0.192275,0.824764,1.36062,2.014305,1.9893,0.135101803,0.342199365,0.354281329,0.28156688,0.241852744,10.0944375,9.897168,9.52434,6.042915,3.9786,52.5,12,7,3,2,0.100944375,0.09897168,0.0952434,0.06042915,0.039786,22.26,10.8137142857143,3.34,2.07642857142857,0.43,-28.59,NA,-27.35,NA,-27.63,1.65,NA,0.29,NA,0.03,6.27,NA,6.89,NA,3.3,23.01,NA,4.44,NA,1.67,-28.47,NA,-27.37,NA,-27.48,1.56,NA,0.39,NA,0.13,6.29,NA,7.19,NA,7.33,0.75,NA,1.1,NA,1.24,4.2800415,NA,4.5444708,NA,0.855399,0.042800415,NA,0.045444708,NA,0.00855399,10.72,NA,2.87,NA,1.205,1.072,NA,0.287,NA,0.1205,5.638,NA,5.614,NA,5.725
"5","Baltic Sea","HEI","Heiligenhafen (HEI)","Grazed","5",198.4626,35.6702957655246,145.41386,37.9323716650383,1.4541386,0.379323716650383,0.3419179302,0.0453542435452018,8.0898988,1.90116342042277,13.9,9.50973185741848,0.080898988,0.0190116342042277,9.63333333333333,7.60518317406695,-28,0.352467492590924,0.65,0.494098505698341,5.87666666666667,0.289904198735452,13.19,8.14196741170912,-28.05,0.411865673895426,0.876666666666667,0.487043233308,5.82333333333333,0.499877762835853,3.55666666666667,0.537442503384729,5.05363062666667,1.99001089063461,0.0505363063333333,0.0199001089967403,4.02566666666667,2.08979555087201,0.402566666666667,0.208979555087201,5.533,0.0505074251966974,143.099,0,15.4683,0,80.73253,0,9.634833,0,0.17187,0,4.908218543,0,43.75,0,2.1473456125625,0,-28.41,0,1.26,0,4.05,0,84.9626,169.6626,256.3626,289.7626,191.5626,27.9527,97.0568,207.6443,238.4626,155.9529,0.279527,0.970568,2.076443,2.384626,1.559529,0.187562602,0.415347084,0.394600355,0.42217772,0.28990189,14.3956405,9.70568,7.2675505,5.961565,3.119058,51.5,10,3.5,2.5,2,0.143956405,0.0970568,0.072675505,0.05961565,0.03119058,24.76,14.6649098474341,3.45,3.32678571428571,0.69,-28.69,NA,-27.53,NA,-27.78,1.63,NA,0.27,NA,0.05,5.45,NA,6.43,NA,5.75,29.39,NA,6.52,NA,3.66,-28.85,NA,-27.48,NA,-27.82,1.84,NA,0.52,NA,0.27,5.15,NA,6.8,NA,5.52,4.63,NA,3.07,NA,2.97,6.92108852,NA,7.16372835,NA,1.07607501,0.069210885,NA,0.071637284,NA,0.01076075,8.2,NA,1.757,NA,2.12,0.82,NA,0.1757,NA,0.212,5.582,NA,5.432,NA,5.585
"6","Baltic Sea","HEI","Heiligenhafen (HEI)","Not grazed","1",227.1026,22.9676424562905,153.67982,24.3135319991851,1.5367982,0.243135319991851,0.4793953612,0.0297187816629261,3.6300293,0.959885426234683,3.1,1.24899959967968,0.036300293,0.00959885426234684,1.06,0.558241285944826,-23.19,1.99276190248609,0.0966666666666667,0.0491030662088541,-0.596666666666667,3.65415896996529,1.30666666666667,0.55696598739161,-18.94,3.47033619889101,0.08,0.0568624070307733,4.61666666666667,0.366666666666667,0.246666666666667,0.316298031047372,1.00760040333333,0.452215283222035,0.0100760043333333,0.00452215278985766,3.84466666666667,1.06797399052807,0.384466666666667,0.106797399052807,7.44866666666667,0.127768453766091,176.399,0,28.1727,0,57.03253,0,7.240233,0,0.31303,0,3.688350993,0,36.9,0,1.361001516417,0,-28.42,0,1.71,0,2.62,0,164.3626,242.4626,271.8626,275.1626,181.6626,81.5123,172.3035,209.4026,192.3431,112.8376,0.815123,1.723035,2.094026,1.923431,1.128376,0.41087927,0.498578275,0.481099143,0.578921677,0.427498441,5.705861,0.8615175,2.094026,3.846862,5.64188,7,0.5,1,2,5,0.05705861,0.008615175,0.02094026,0.03846862,0.0564188,1.99,0.172142857142857,0.06,0.572,1.13,-26.7,NA,-23.07,NA,-19.8,0.18,NA,0.01,NA,0.1,4.38,NA,-7.72,NA,1.55,1.75,NA,0.2,NA,1.97,-25.83,NA,-14.77,NA,-16.22,0.16,NA,-0.03,NA,0.11,4.25,NA,4.25,NA,5.35,-0.24,NA,0.14,NA,0.84,1.62209477,NA,0.12564156,NA,1.27506488,0.016220948,NA,0.001256416,NA,0.012750649,5.04,NA,1.714,NA,4.78,0.504,NA,0.1714,NA,0.478,7.198,NA,7.617,NA,7.531
"7","Baltic Sea","HEI","Heiligenhafen (HEI)","Not grazed","2",225.0226,25.1962417832501,158.57812,26.7308403027552,1.5857812,0.267308403027552,0.4450130024,0.0308608168372112,5.5672109,2.8515440122324,5.3,3.16464847968933,0.055672109,0.028515440122324,3.19,1.90659382145228,-25.4733333333333,1.53532117523048,0.27,0.162890556304942,1.46333333333333,2.50241438970003,3.11,1.90984292547843,-23.4133333333333,2.69222543219876,0.23,0.173877351409933,6.69,1.64199066176801,-0.08,0.23259406699226,3.05387401333333,1.79641433431569,0.03053874,0.0179641432198994,2.71366666666667,1.47988246530294,0.271366666666667,0.147988246530294,6.968,0.11781482645802,990.6958,0,289.1052,0,35.43253,0,5.167433,0,3.21228,0,2.6324162,0,37.74,0,0.99347387388,0,-27.82,0,1.81,0,1.23,0,144.7626,242.9626,267.0626,279.6626,190.6626,92.1345,187.3066,206.6567,211.2126,95.5802,0.921345,1.873066,2.066567,2.112126,0.955802,0.33495279,0.429067524,0.467429133,0.516962314,0.476653251,6.449415,0.936533,1.0332835,3.168189,16.248634,7,0.5,0.5,1.5,17,0.06449415,0.00936533,0.010332835,0.03168189,0.16248634,2.8,0.3,0.1,0.888529411764706,6.67,-27.45,NA,-22.45,NA,-26.52,0.23,NA,0.01,NA,0.57,3.2,NA,-3.47,NA,4.66,2.26,NA,0.31,NA,6.76,-26.01,NA,-18.03,NA,-26.2,0.16,NA,-0.03,NA,0.56,5.19,NA,9.97,NA,4.91,-0.54,NA,0.21,NA,0.09,2.579766,NA,0.2066567,NA,6.37519934,0.02579766,NA,0.002066567,NA,0.063751993,0.818,NA,1.693,NA,5.63,0.0818,NA,0.1693,NA,0.563,6.753,NA,7.159,NA,6.992
"8","Baltic Sea","HEI","Heiligenhafen (HEI)","Not grazed","3",203.3026,12.894867195904,120.11722,14.3424901027471,1.2011722,0.143424901027471,0.4734446382,0.0284243041956698,12.2485662,2.75945357010493,11.4,3.2649655434629,0.122485662,0.0275945357010493,4.22666666666667,1.04394018560026,-26.6,1.11301392623812,0.363333333333333,0.101050042608161,5.17666666666667,0.378608563617418,3.97333333333333,1.38275489914558,-26.4066666666667,1.00721287609809,0.32,0.135769412362775,6.37333333333333,0.219266453835916,-0.253333333333333,0.349157716671293,4.76307082,1.12840108706061,0.0476307086666667,0.0112840109039139,3.75833333333333,1.00704325185719,0.375833333333333,0.100704325185719,6.807,0.142010562987406,348.2969,0,105.9791,0,21.03253,0,3.135733,0,1.177545556,0,1.597418747,0,38.84,0,0.6204374413348,0,-28.05,0,1.77,0,2.86,0,169.2626,232.6626,231.8626,201.4626,181.2626,106.2711,169.868,133.6577,90.8378,99.9515,1.062711,1.69868,1.336577,0.908378,0.999515,0.395490557,0.45846617,0.566104282,0.498797963,0.448364219,6.376266,5.09604,14.702347,19.075938,15.99224,6,3,11,21,16,0.06376266,0.0509604,0.14702347,0.19075938,0.1599224,2.36,2.36636363636364,4.35,16.1401704545455,5.97,-28.78,NA,-25.12,NA,-25.9,0.19,NA,0.36,NA,0.54,4.42,NA,5.53,NA,5.58,1.42,NA,4.33,NA,6.17,-28.34,NA,-24.95,NA,-25.93,0.08,NA,0.33,NA,0.55,6.81,NA,6.12,NA,6.19,-0.94,NA,-0.02,NA,0.2,2.50799796,NA,5.81410995,NA,5.96710455,0.02507998,NA,0.0581411,NA,0.059671046,1.755,NA,4.94,NA,4.58,0.1755,NA,0.494,NA,0.458,6.946,NA,6.952,NA,6.523
"9","Baltic Sea","HEI","Heiligenhafen (HEI)","Not grazed","4",222.9226,16.4184834866074,144.97506,17.3763841246849,1.4497506,0.173763841246849,0.4882838542,0.0349687135662814,6.9141837,2.65164765894232,5.8,2.58166612868512,0.069141837,0.0265164765894232,1.66666666666667,0.778038845074232,-24.4633333333333,2.03447235856813,0.12,0.055075705472861,3.65666666666667,0.867685298813906,1.92333333333333,0.754129372926894,-22.74,2.23365918020931,0.0966666666666667,0.0606446846622008,5.33666666666667,1.08666666666667,0.256666666666667,0.12440971737681,2.07468967,0.794503072438531,0.0207468966666667,0.00794503071632664,4.22566666666667,1.18085369307313,0.422566666666667,0.118085369307313,7.27833333333333,0.136667886173421,490.5969,0,127.3062,0,50.43253,0,6.587133,0,1.414513333,0,3.35564595,0,43.26,0,1.45165243797,0,-27.89,0,1.78,0,1.82,0,214.3626,268.5626,243.7626,217.6626,170.2626,157.0293,201.3858,149.8134,109.0981,107.5487,1.570293,2.013858,1.498134,1.090981,1.075487,0.419989679,0.503735576,0.577399859,0.54415323,0.396140927,3.140586,1.006929,5.992536,16.364715,8.0661525,2,0.5,4,15,7.5,0.03140586,0.01006929,0.05992536,0.16364715,0.080661525,0.37,0.28875,1.57,12.0075,3.06,-26.31,NA,-20.4,NA,-26.68,0.03,NA,0.11,NA,0.22,5.26,NA,3.43,NA,2.28,0.55,NA,2.07,NA,3.15,-23.18,NA,-18.67,NA,-26.37,-0.01,NA,0.1,NA,0.2,7.51,NA,4.25,NA,4.25,0.18,NA,0.5,NA,0.09,0.58100841,NA,2.35207038,NA,3.29099022,0.005810084,NA,0.023520704,NA,0.032909902,1.887,NA,5.11,NA,5.68,0.1887,NA,0.511,NA,0.568,7.5,NA,7.306,NA,7.029
